X,Y,DESCRIP86,BUSINESS86,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE,OBJECTID
326051.8914,673524.6472,n/t/c, ,Class 1,Class 1,Class 1,Vacant,56 BLACKFRIARS,EH1 1NE,188
327837.3064,675703.629000001,hairdresser, ,Class 1,Class 1,Class 1,Class 9, , ,189
325910.5073,673580.7996,public house, ,SUI GENERIS,Vacant, , , , ,190
325912.2609,673574.077299999,printers, ,Class 4,Vacant, , , , ,191
325915.1691,673564.0,hardware, ,Class 1,Vacant,Class 4,Class 4,15 BLAIR STREET,EH1 1QR,192
325918.6305,673549.8309,stationery, ,Class 1,Class 4, , , , ,193
325948.5508,673530.09,sauna, ,Class 11,Class 11,Class 11,Class 11,30 BLAIR STREET,EH1 1QR,194
326156.9608,674485.260399999,bank, ,Class 2,Class 2,Class 2,Class 2,2-3A BLENHEIM P,EH7 5JH,195
326170.2081,674483.0392,pet shop, ,Class 1,Class 1, , , , ,196
325570.8855,676200.934599999,hairdresser, ,Class 1,Class 1,Class 1,Class 1, , ,197
326710.0784,676148.1779,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,8 BONNINGTON RO,EH6 5JD,198
326707.6282,676141.4241,restaurant, ,Class 3,Class 3,Vacant,Class 3,10-12 BONNINGTO,EH6 5JD,199
326704.4764,676133.774900001,vacant, ,Vacant,SUI GENERIS,Class 4, , , ,200
326204.1169,675784.881200001,vacant, ,Vacant,Vacant, , , , ,201
326189.1782,675774.9387,office equipment, ,Class 2,Vacant,Class 1,Class 1,264 BONNINGTON,EH6 5BE,202
326176.6475,675765.588099999,grocer, ,Class 1,Class 1,Vacant,Class 9, , ,203
326113.7277,674534.5196,car showroom,Burton Car Sales,SUI GENERIS,Class 1, , , , ,204
326115.7538,674538.571900001,car showroom,Burton Car Sales,SUI GENERIS,Vacant, , , , ,205
321529,672903,vacant, ,Vacant,Class 1, , , , ,206
322253.822,671986.266899999,plumber, ,Class 4,Class 4,Class 4,Class 4,191 BALGREEN RO,EH11 2RZ,207
322255.2147,671982.7853,hot food t/a, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,193 BALGREEN RO,EH11 2RZ,208
322260.4371,671970.947799999,tools, ,Class 1,Class 1, , , , ,209
322262.178,671967.814300001,tools, ,Class 1,Class 4,Class 1,Class 1,199 BALGREEN RO,EH11 2RZ,210
322263.9188,671963.9845,hot food t/a, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,203 BALGREEN RO,EH11 2RZ,211
322274.3404,671944.6963,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,Class 4, , ,212
322285.8066,671918.1412,vacant, ,Vacant,Vacant,Vacant,Vacant,213 BALGREEN RO,EH11 2RZ,213
322288.5919,671913.963300001,plumber, ,Class 4,Class 4,Vacant,Vacant,215 BALGREEN RO,EH11 2RZ,214
322294.8588,671907.6963,dry cleaners, ,Class 1,Class 1, , , , ,215
322299.0367,671906.3037,betting shop, ,Class 2,Class 2,Class 2,Class 2,221-223 BALGREE,EH11 2RZ,216
322303.911,671905.955499999,n/t/c, ,Class 1,Class 1, , , , ,217
322307.7408,671907.0,sports gear, ,Class 1,Class 1,Class 1,Class 1,229 BALGREEN RO,EH11 2RZ,218
322022.5243,672316.936000001,hot food t/a, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,154 BALGREEN RO,EH11 3AU,219
322027.5574,672310.749399999,vehicle bearings, ,Class 1,Class 2,Class 2,Class 2,158-160 BALGREE,EH11 3AU,220
322033.5343,672303.619100001,hairdresser, ,Class 1,Class 1,Class 1,Class 1,164 BALGREEN RO,EH11 3AU,221
322039.5111,672296.6986,vacant, ,Vacant,Vacant,Class 1,Class 1,166 BALGREEN RO,EH11 3AU,222
322046.0971,672289.741699999,n/t/c, ,Class 1,Class 1,Class 1,Class 1,170 BALGREEN RO,EH11 3AU,223
327333.4213,676456.2082,public house, ,SUI GENERIS,SUI GENERIS,Vacant, , , ,224
327438.3153,676431.334899999,vacant, ,Vacant,Class 9,Class 1,Vacant,4 BALTIC STREET,EH6 7BW,225
327434.9459,676431.334899999,vacant, ,Vacant,Class 9, , , , ,226
327441.3546,676431.334899999,workshop, ,Class 4,Class 9, , , , ,227
327346.2131,676429.680400001,car showroom & garage, ,SUI GENERIS,Class 9, , , , ,228
326638.0733,676247.502499999,vacant, ,Vacant,Class 2, ,Class 1,3 BANGOR ROAD,EH6 5JY,229
326635.3718,676243.9005,vacant, ,Vacant,Class 9, , , , ,230
325590.8309,673632.091800001,woolshop, ,Class 1,Vacant,Class 1,Class 1,14 BANK STREET,EH1 2LN,231
325593.4614,673624.785,hot food t/a, ,SUI GENERIS,Class 1,Class 1,SUI GENERIS,15 BANK STREET,EH1 2LN,232
325594.3382,673618.4155,photographic goods,Castle Photographic,Class 1,Class 1,Class 1,Class 1,16 BANK STREET,EH1 2LN,233
325595.7223,673610.5386,jewellers,Ritchie & Son,Class 1,Class 1,Class 1,Vacant,17-20 BANK STRE,EH1 2LN,234
319420.0503,670788.455399999,bank., ,Class 2,Class 2,Class 2,Class 2,10 BANKHEAD AVE,EH11 4HD,235
319399.9475,670798.176899999,bank, ,Class 2,Class 2,Class 2,Class 2,12 BANKHEAD AVE,EH11 4HD,236
324911.5002,672580.253900001,public house,Chaplin's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1-3 BARCLAY PLA,EH10 4HW,237
324909.9995,672577.252499999,clothing alterations,Two's Company,Class 1,Class 2, , , , ,238
324904.9971,672566.747500001,hot food t/a,New World Chinese Rest.,SUI GENERIS,Class 3,Class 3,Class 3,7-13 BARCLAY PL,EH10 4HW,239
327289.1574,676459.995200001,bank, ,Class 2,Class 2,Class 2,Class 2,2 BERNARD STREE,EH6 6PU,240
327277.6295,676465.4213,bank, ,Class 2,Class 2,Class 2,Class 2,4(GF90) BERNARD,EH6 6PU,241
327215.9395,676514.888599999,bank, ,Class 2,Vacant,SUI GENERIS,SUI GENERIS,28 BERNARD STRE,EH6 6QD,242
327181.8426,676518.8378,satellite tv, ,Class 1,Class 2,Class 1,Class 1,38 BERNARD STRE,EH6 6PR,243
327174.7361,676519.1017,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,42 BERNARD STRE,EH6 6PR,244
327127.3148,676540.472200001,n/t/c, ,Class 1,Class 1,Class 1,Class 1,58 BERNARD STRE,EH6 6PR,245
326351.1399,672634.7245,property office, ,Class 4,Class 4, , , , ,246
326366.0168,672609.922700001,gents clothes,Davison,Class 1,Redeveloped, , , , ,247
325010.3016,667186.5352,service station, ,SUI GENERIS,SUI GENERIS, , , , ,248
324767.5459,668235.6908,bank, ,Class 2,Class 2,Class 2,Class 2,2 BIGGAR ROAD,EH10 7BQ,249
