X,Y,OBJECTID,DESCRIP15,BUSINESS15,USECLASS15,CVR15_POST,EASTING,NORTHING,ADDRESS
324554,671685,947,funeral directors,Barclays,Class 1,EH10 4BE,324554,671685,17 CHURCH HILL PLACE
324561,671685,948,beauty treatments,Dermal Clinic,Class 1, ,324561,671685, 
324534,671657,949,furniture & floor coverings,James Erskine,Class 1,EH10 4BD,324534,671657,6-10 CHURCH HILL PLACE
324538,671657,950,hair productes,Intelligent Hair Growth,Class 1,EH10 4BD,324538,671657,14-16 CHURCH HILL PLACE
326203,672830,951,hairdresser (gents),Barbers 3-2-1,Class 1,EH8 9JH,326203,672830,3 CLERK STREET
326205,672826,952,letting office,Letslet,Class 2,EH8 9JH,326205,672826,5 CLERK STREET
326216,672804,953,bank,TSB,Class 2,EH8 9JH,326216,672804,11 CLERK STREET
326218,672800,954,Post Office,Post Office,Class 1,EH8 9JH,326218,672800,13 CLERK STREET
326223,672792,955,antiques / fine teas,Anteaques,Class 1,EH8 9JH,326223,672792,17 CLERK STREET
326226,672786,956,optician,Browns Optician,Class 1,EH8 9JH,326226,672786,19 CLERK STREET
326230,672779,957,Grocer (Polish),Polish Shop,Class 1,EH8 9JH,326230,672779,21 CLERK STREET
326234,672771,958,Grocer (chinese),Starlight Chinese Supermarket,Class 1,EH8 9JH,326234,672771,25-29 CLERK STREET
326238,672765,959,hot food take-away,Marmaris Restaurant,SUI GENERIS,EH8 9JH,326238,672765,33-35 CLERK STREET
326239,672761,960,hot food take-away,Marmaris Restaurant,SUI GENERIS, ,326239,672761, 
326247,672748,961,"clothing alterations, sewing, tailoring",Stitch Master,Class 1,EH8 9JQ,326247,672748,37 CLERK STREET
326249,672744,962,hairdresser (gents),Bailey's Barber,Class 1,EH8 9JQ,326249,672744,39 CLERK STREET
326251,672741,963,Newsagents,best-one,Class 1,EH8 9JQ,326251,672741,43 CLERK STREET
326253,672737,964,charity shop,Barnardo's,Class 1,EH8 9JQ,326253,672737,45 CLERK STREET
326256,672732,965,curios,Apothecary,Class 1,EH8 9JQ,326256,672732,47 CLERK STREET
326258,672728,966,greeting cards & gifts,The Paper Gallery,Class 1,EH8 9JQ,326258,672728,49 CLERK STREET
326260,672724,967,restaurant (Indian),Tikka Mahal,Class 3,EH8 9JQ,326260,672724,53 CLERK STREET
326262,672720,968,vacant,vacant,Vacant,EH8 9JQ,326262,672720,55 CLERK STREET
326265,672715,969,hot food take-away (chinese),Fusion,SUI GENERIS,EH8 9JQ,326265,672715,57 CLERK STREET
326267,672711,970,videotape hire,Vogue Video,Class 1,EH8 9JQ,326267,672711,59 CLERK STREET
326269,672707,971,restaurant,Desi Cuisine,Class 3,EH8 9JQ,326269,672707,63 CLERK STREET
326271,672704,972,hairdresser,Gordon Black,Class 1,EH8 9JQ,326271,672704,65 CLERK STREET
326274,672699,973,caf‚,The Wee Boulangerie,Class 3,EH8 9JG,326274,672699,67 CLERK STREET
326276,672695,974,Record Shak,Record Shak,Class 1,EH8 9JG,326276,672695,69 CLERK STREET
326278,672692,975,e-Cigarettes,Puff and Stuff,Class 1,EH8 9JG,326278,672692,73 CLERK STREET
326280,672689,976,delicatessen,Bonningtons Delicatessen,Class 1,EH8 9JG,326280,672689,75 CLERK STREET
326284,672683,977,public house,The Grapes,SUI GENERIS,EH8 9JG,326284,672683,77 CLERK STREET
326286,672678,978,Mobile Phone and Computer Repair Centre,Mobile Phone and Computer Repair Centre,Class 1,EH8 9JG,326286,672678,83 CLERK STREET
326223,672851,979,hairdresser & beauty salon,Ruby Rouge,Class 1,EH8 9HX,326223,672851,2 CLERK STREET
326228,672842,980,Restaurant (Indian),Tanjore,Class 3,EH8 9HX,326228,672842,6-8 CLERK STREET
326232,672834,981,nail salon,USA Nails,Class 1,EH8 9HX,326232,672834,10 CLERK STREET
326234,672830,982,fishmonger,Welch's Quality Fish,Class 1,EH8 9HX,326234,672830,12 CLERK STREET
326236,672825,983,Chinese medicine and acupunture,Acuremedy,Class 2,EH8 9HX,326236,672825,16 CLERK STREET
326239,672819,984,public house,McSorleys,SUI GENERIS,EH8 9HX,326239,672819,18-24 CLERK STREET
326242,672815,985,n/t/c,Capital Newsagents,Class 1,EH8 9HX,326242,672815,26 CLERK STREET
326244,672810,986,restaurant (Malaysia),Kampong Ah Lee,Class 3,EH8 9HX,326244,672810,28 CLERK STREET
326247,672805,987,betting shop,William Hill,Class 2,EH8 9HX,326247,672805,30-32 CLERK STREET
